"id","age","mean","mode","lower","upper","variance"
"Aminoglycosides","16",0.103603053635747,0.09,0.0458616045886134,0.169318793591895,0.00107505365554648
"Aminoglycosides","17",0.105241805709043,0.09,0.0468527942643992,0.17226330804101,0.00109896859591716
"Aminoglycosides","18",0.10687862049929,0.09,0.0458596884637321,0.17326174010949,0.00112389469439119
"Aminoglycosides","19",0.108512404735396,0.1,0.0497782428160533,0.178684330499797,0.00114981978350509
"Aminoglycosides","20",0.110142058138485,0.1,0.0510308185073407,0.181756352111269,0.00117672806973774
"Aminoglycosides","21",0.111766475176497,0.1,0.046755287060684,0.179634303485658,0.00120460014991485
"Aminoglycosides","22",0.113384546820664,0.1,0.0458628619224241,0.180527189414617,0.00123341305553664
"Aminoglycosides","23",0.114995162297734,0.1,0.0536907419493209,0.190124107063674,0.00126314032506561
"Aminoglycosides","24",0.116597210831996,0.1,0.0496337973832491,0.187733104101303,0.00129375210394724
"Aminoglycosides","25",0.118189583371426,0.1,0.051539929805223,0.191199880415463,0.00132521527187734
"Aminoglycosides","26",0.11977117429255,0.1,0.0524128559993904,0.193964219883554,0.00135749359658042
"Aminoglycosides","27",0.121340883078934,0.11,0.0521108150311456,0.195344294247306,0.00139054791312557
"Aminoglycosides","28",0.122897615968568,0.11,0.0523314091884939,0.197790723216437,0.00142433632758408
"Aminoglycosides","29",0.124440287565734,0.11,0.0575999213763438,0.204726160372212,0.00145881444362843
"Aminoglycosides","30",0.125967822413395,0.11,0.056255715297284,0.204835175545352,0.00149393561048731
"Aminoglycosides","31",0.127479156522472,0.11,0.0577763758085772,0.207879703157531,0.00152965119050813
"Aminoglycosides","32",0.12897323885483,0.11,0.0586266549599396,0.210428206672934,0.00156591084443785
"Aminoglycosides","33",0.130449032757168,0.11,0.0609200257946593,0.214260581224305,0.00160266283241607
"Aminoglycosides","34",0.131905517343447,0.11,0.0612888950733141,0.216305592778938,0.00163985432858102
"Aminoglycosides","35",0.133341688823867,0.12,0.0636965700476054,0.22023933937495,0.00167743174712012
"Aminoglycosides","36",0.134756561778813,0.12,0.0665977411789756,0.224421679630128,0.00171534107755052
"Aminoglycosides","37",0.136149170376589,0.12,0.067490663172476,0.226780880616711,0.00175352822699226
"Aminoglycosides","38",0.137518569534087,0.12,0.0667067396589738,0.227780678712277,0.00179193936719439
"Aminoglycosides","39",0.138863836019949,0.12,0.0673405188207675,0.23036268057703,0.00183052128409309
"Aminoglycosides","40",0.140184069500059,0.12,0.0683009359271937,0.233192780214242,0.00186922172771784
"Aminoglycosides","41",0.14147839352554,0.12,0.069022585716432,0.235537728741539,0.00190798976031506
"Aminoglycosides","42",0.142745956463718,0.12,0.0696597694012445,0.237521434716708,0.00194677610062812
"Aminoglycosides","43",0.143985932372773,0.12,0.0709976188089962,0.24024866712494,0.00198553346235386
"Aminoglycosides","44",0.145197521821007,0.12,0.0719523363680003,0.243340063651042,0.00202421688488944
